"Key","Link","Title","Status","Points","Description","Assignee","Created","Epic"
"CT-5722","https://caretracker.atlassian.net/browse/CT-5722","Automatic matching of inbound HL7 ORU laboratory results to outbound ORM order messages","Closed","","*As a* clinical user (ordering provider), *I want* an inbound HL7 ORU result message to be automatically matched and linked to its originating outbound ORM order, *So that* lab results appear on the provider's Results dashboard without requiring manual patient mapping or order reconciliation in the Interface Exceptions queue. ---- *Background & Context* When a provider places a lab order in Care Tracker, an ORM message is sent outbound to the lab. The CareTracker-assigned order number is transmi","Unassigned","2026-06-03 14:51:09 Eastern Daylight Time","CT-5723"
"CT-5682","https://caretracker.atlassian.net/browse/CT-5682","HL7 Interface Lab Order and Result Matching current state","Closed","","Task to document current HL7 Interface Lab Order and Result Matching in order to propose future state(s) alternatives in [https://caretracker.atlassian.net/browse/CT-5722|https://caretracker.atlassian.net/browse/CT-5722] !Understanding how CT configure Lab inboundoutbound HL7 messages in QA.-20260514_151740-Meeting Recording.mp4|width=1060,alt=""Understanding how CT configure Lab inboundoutbound HL7 messages in QA.-20260514_151740-Meeting Recording.mp4""! [^Understanding how CT configure Lab inbou","Carl E Blomquist","2026-05-27 10:36:23 Eastern Daylight Time","CT-5723"
"CT-5678","https://caretracker.atlassian.net/browse/CT-5678","Griffin Family Medicine Clinic (PCID 12060 GRP 14872) 500 Internal Server Error","Closed","","Client Â encountering a â€œ500 - Internal Server Errorâ€ when attempting to access the Patient Reports section in CareTracker. Error message: â€œ500 - Internal server error. There is a problem with the resource you are looking for, and it cannot be displayed. !image-20260526-204757.png|width=417,alt=""image-20260526-204757.png""!","Neyda Pagan","2026-05-26 16:48:23 Eastern Daylight Time",""
"CT-5677","https://caretracker.atlassian.net/browse/CT-5677","LONG OPS issue PAT_DETAILS 6vbqjypkvxm56","Closed","","@explain.sql; SELECT /* admissionlist.asp */ ADLIST.PAT_ADMISSION_ID ,ADLIST.CASE_ID ,ADLIST.ADMISSION_DATE ,ADLIST.DISCHARGE_DATE ,ADLIST.LAST_SERVICE_DATE ,ADLIST.ROOM_COMMENT ,ADLIST.NATIONAL ,ADLIST.LOCATION_FULLNAME ,ADLIST.ROOM_NAME ,ADLIST.MAINT_PLACE_OF_SERVICE_ID ,ADLIST.POS_FULLNAME ,ADLIST.STATUS_DESCRIPTION ,ADLIST.PRIMARY_PROVIDER ,ADLIST.GROUP_FULLNAME ,ADLIST.LAST_PROVIDER ,PAT_NAME ,ADLIST.NONPAT_FIRST_NAME ,ADLIST.NONPAT_LAST_NAME ,ADLIST.NONPAT_DOB ,ADLIST.NONPAT_MRN ,ADLIST.EN","Unassigned","2026-05-26 14:29:23 Eastern Daylight Time",""
"CT-5671","https://caretracker.atlassian.net/browse/CT-5671","CT-5671: Aptarro CP Migration 6/9/2026 9PM ET *NO SYSTEM MESSAGE*","Closed","","h2. Apply Aptarro Settings Based on Parent Company Group Configuration h3. Objective Run a script to update Transaction Scrubber settings for groups under specific Parent Companies, based on their current CM (Claims Manager) configuration. h3. Input An Excel file will be provided containing the following columns: * *Channel Partner* * *Parent Company* * *Parent Company ID* h3. Scope * Apply updates to *all active groups* associated with each *Parent Company ID* listed in the Excel file. * Inacti","Elise Yacovone","2026-05-22 14:14:49 Eastern Daylight Time",""
"CT-5670","https://caretracker.atlassian.net/browse/CT-5670","CT-5670: Aptarro CP Migration 6/2/2026 9PM ET *NO SYSTEM MESSAGE*","Closed","","h2. Apply Aptarro Settings Based on Parent Company Group Configuration h3. Objective Run a script to update Transaction Scrubber settings for groups under specific Parent Companies, based on their current CM (Claims Manager) configuration. h3. Input An Excel file will be provided containing the following columns: * *Channel Partner* * *Parent Company* * *Parent Company ID* h3. Scope * Apply updates to *all active groups* associated with each *Parent Company ID* listed in the Excel file. * Inacti","Elise Yacovone","2026-05-22 14:14:22 Eastern Daylight Time",""
"CT-5660","https://caretracker.atlassian.net/browse/CT-5660","CT-5660: Claim batch count discrepancies - United Heart Institute","Closed",""," Client is reporting discrepancies on the claims batch count, between the amount of claims shown on CM Pending status and the amount of claims on CM Passed and Prepared. Claim batch example 75740766 PCID 16254 Group ID 21145 Form Type 852 ANSI 837 Office Ally Dynamic Case # CAS-607979-L1Z8Y1 !image-20260521-153900.png|width=643,alt=""image-20260521-153900.png""! This are claims that are process directly by the provider. They manually â€œTrans Closeâ€ every batch. ","Unassigned","2026-05-21 11:42:10 Eastern Daylight Time",""
"CT-5656","https://caretracker.atlassian.net/browse/CT-5656","Revert Changes from the dev branch that were introduced as part of CT-2458","Closed","","Revert the changes that were inadvertently introduced as part of [https://caretracker.atlassian.net/browse/CT-2458|https://caretracker.atlassian.net/browse/CT-2458|smart-link] from the dev branch.","Unassigned","2026-05-20 10:31:39 Eastern Daylight Time",""
"CT-5631","https://caretracker.atlassian.net/browse/CT-5631","Merge CDA folder from DEV to Staging release-9.6.2026","Closed","","Copy CDA folder from DEV to Staging release-9.6.2026","Unassigned","2026-05-18 10:22:14 Eastern Daylight Time",""
"CT-5610","https://caretracker.atlassian.net/browse/CT-5610","CT-5610: LONG OPS - OPERATOR_MASTER    SQLID: 95vg2adap4fuw","Closed","",,"Unassigned","2026-05-14 10:03:33 Eastern Daylight Time",""
"CT-5609","https://caretracker.atlassian.net/browse/CT-5609","Provenance not returned for DocumentReference","Closed","","While validating the exported FHIR Bundle, the *DocumentReference resource is missing the* {{custodian}}*section*. According to the FHIR specifications and the acceptance criteria, the DocumentReference resource should include the *DocumentReference.custodian* as it is a must supported element. {noformat} ""custodian"" : { ""reference"" : ""Organization/ID"" },{noformat} As per Dianeâ€™s email this is also failing attestation. I found the following in the specs: (URL:[https://hl7.org/fhir/us/core/STU6","Rimsha Amer","2026-05-14 09:28:25 Eastern Daylight Time",""
"CT-5600","https://caretracker.atlassian.net/browse/CT-5600","CT-5600: Aptarro CP Migration 5/19/2026 9PM ET *NO SYSTEM MESSAGE*","Closed","","h2. Apply Aptarro Settings Based on Parent Company Group Configuration h3. Objective Run a script to update Transaction Scrubber settings for groups under specific Parent Companies, based on their current CM (Claims Manager) configuration. h3. Input An Excel file will be provided containing the following columns: * *Channel Partner* * *Parent Company* * *Parent Company ID* h3. Scope * Apply updates to *all active groups* associated with each *Parent Company ID* listed in the Excel file. * Inacti","Mark Goodwin","2026-05-13 09:35:23 Eastern Daylight Time",""
"CT-5599","https://caretracker.atlassian.net/browse/CT-5599","Aptarro Migration Wave 7 5/21/2026 9PM ET","Closed","","h2. Apply Aptarro Settings Based on Parent Company Group Configuration h3. Objective Run a script to update Transaction Scrubber settings for groups under specific Parent Companies, based on their current CM (Claims Manager) configuration. h3. Input An Excel file will be provided containing the following columns: * *Channel Partner* * *Parent Company* * *Parent Company ID* h3. Scope * Apply updates to *all active groups* associated with each *Parent Company ID* listed in the Excel file. * Inacti","Unassigned","2026-05-13 09:34:30 Eastern Daylight Time",""
"CT-5594","https://caretracker.atlassian.net/browse/CT-5594","Full EHR Export CDA Jonathan Forman client # 13752","Closed","","Please complete the full EHR export of CCDAs from 9/1/2015-9/30/2019 and let Michelle know once completed. There is no fee for this. CASE: CAS-606308-D7W8W7 This is in the Data Integration queue in Dynamics","Unassigned","2026-05-12 14:31:40 Eastern Daylight Time",""
